frame,timestamp_ms,divergence,lr_balance,tau,vx_mean,vy_mean,flow_cnt,div_cnt,valid,ema_div,ema_lr,tau_ms,looming,evasion_level,turn_cmd,az_quiet,ax,ay,az,gx,gy,gz,roll,pitch,yaw
75,2972,0.04688,0.09242,21.33333,-0.6,-0.12,25,16,1,0.01162,0.0761,10.688,0,0,-0.2283,0,-0.0283,-0.3955,-0.9287,-43.579,14.832,-14.771,-158.236,-0.297,83.859
76,2999,0,0,0,0,0,0,0,0,0.01162,0.0761,10.688,0,0,-0.2283,1,0.0742,-0.4629,-0.9126,-28.442,53.711,-3.723,-159.186,-1.467,83.589
77,3027,-0.02381,-0.02564,1000000,0.7368,-4.4737,19,14,1,0.00639,0.04558,0,0,0,-0.1367,1,0.0742,-0.4629,-0.9126,-28.442,53.711,-3.723,-159.186,-1.467,83.589
78,3055,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,1,0.1118,-0.373,-1.1973,-4.7,-27.588,0.244,-159.527,-1.972,83.705
79,3082,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,0,0.0122,-0.3467,-1.1519,120.605,-149.78,0.366,-157.747,0.242,84.534
80,3111,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,0,-0.0229,-0.3857,-0.5425,46.875,-90.332,-0.793,-156.198,2.571,85.512
81,3139,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,0,-0.0229,-0.3857,-0.5425,46.875,-90.332,-0.793,-156.198,2.571,85.512
82,3167,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,0,-0.0229,-0.3857,-0.5425,46.875,-90.332,-0.793,-156.198,2.571,85.512
83,3195,0.09615,0.34167,10.4,2.7895,2.8947,19,13,1,0.03872,0.1344,25.15,0,0,-0.4032,0,0.0093,-0.4741,-1.0151,-1.587,-27.771,-5.005,-155.303,2.983,85.743
84,3222,0,0,0,0,0,0,0,0,0.03872,0.1344,25.15,0,0,-0.4032,1,0.0093,-0.4741,-1.0151,-1.587,-27.771,-5.005,-155.303,2.983,85.743
85,3251,0.03205,0.18561,31.2,0.8889,-2.3889,18,13,1,0.04212,0.14976,991.069,0,0,-0.4493,1,0.0093,-0.4741,-1.0151,-1.587,-27.771,-5.005,-155.303,2.983,85.743
86,3283,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,0,-0.4331,-1.082,-38.208,56.458,25.757,-160.087,-1.06,83.831
87,3312,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,-0.0547,-0.5322,-0.6045,-83.862,49.5,-16.357,-156.116,4.109,85.128
88,3334,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.1064,-0.3804,-0.5396,67.078,-35.522,22.278,-154.962,3.961,80.491
